month,dow,hour,exit,승차인원,하차인원
01,FRI,5,1,8.506694129763117,1.7445932028836222
01,FRI,5,10,8.962409886714727,1.838053553038105
01,FRI,5,11,5.164778578784747,1.0592173017507702
01,FRI,5,12,31.59629248197733,6.479917610710605
01,FRI,5,13,30.532955715756948,6.261843460350153
01,FRI,5,14,20.05149330587023,4.112255406797115
01,FRI,5,15,23.393408856848602,4.797631307929968
01,FRI,5,2,7.7471678681771365,1.5888259526261583
01,FRI,5,3,1.2152420185375754,0.24922760041194345
01,FRI,5,4,0.0,0.0
01,FRI,5,5,0.0,0.0
01,FRI,5,6,0.0,0.0
01,FRI,5,7,1.2152420185375754,0.24922760041194345
01,FRI,5,8,0.0,0.0
01,FRI,5,9,0.0,0.0
01,FRI,5,9-1,9.11431513903192,1.869207003089597
01,FRI,6,1,8.99917491749175,20.594059405940595
01,FRI,6,10,13.152640264026402,30.099009900990097
01,FRI,6,11,10.95374684527276,25.066977285963887
01,FRI,6,12,54.198650747427685,124.03028538147932
01,FRI,6,13,17.02106387109299,38.95165987186953
01,FRI,6,14,31.843234323432338,72.87128712871286
01,FRI,6,15,23.536303630363033,53.86138613861385
01,FRI,6,2,6.922442244224422,15.84158415841584
01,FRI,6,3,9.121335662978062,20.87361677344205
01,FRI,6,4,3.7055426130848375,8.479906814210832
01,FRI,6,5,0.24432149097262662,0.559114735002912
01,FRI,6,6,0.6515239759270044,1.4909726266744319
01,FRI,6,7,7.981168705105804,18.264414676761792
01,FRI,6,8,2.0360124247718887,4.6592894583576
01,FRI,6,9,1.995292176276451,4.566103669190448
01,FRI,6,9-1,17.38754610755193,39.790331974373906
01,FRI,7,1,11.640233410638112,36.59946136006575
01,FRI,7,10,56.08476097852919,176.34285928031713
01,FRI,7,11,29.559138176105332,92.94045036283384
01,FRI,7,12,122.92791950325426,386.5124934540285
01,FRI,7,13,30.123513129348392,94.71496970150369
01,FRI,7,14,54.814917333732275,172.35019076830986
01,FRI,7,15,34.81487992818131,109.4656617041968
01,FRI,7,2,10.582030373307354,33.27223760005971
01,FRI,7,3,22.08117004563476,69.42806912545818
01,FRI,7,4,18.236365676666402,57.33915613076976
01,FRI,7,5,2.3985935512829752,7.541707189346789
01,FRI,7,6,1.5520311214184153,4.8799281813421
01,FRI,7,7,22.186990349367836,69.76079150145878
01,FRI,7,8,10.264569462108174,32.27407047205804
01,FRI,7,9,5.961210443629832,18.743360514700374
01,FRI,7,9-1,38.2716765167951,120.33459265354979
01,FRI,8,1,10.615226848974475,62.42507768800472
01,FRI,8,10,84.55450590428838,497.2405842137974
01,FRI,8,11,40.88147917961462,240.41215040397734
01,FRI,8,12,145.98691733996267,858.5068210068363
01,FRI,8,13,25.2157551274083,148.28655997513965
01,FRI,8,14,51.66199502796764,303.8092448725914
01,FRI,8,15,24.774984462398983,145.69451522684884
01,FRI,8,2,10.927439403356066,64.26110938471068
01,FRI,8,3,38.69599129894342,227.55992852703528
01,FRI,8,4,35.84934742075822,210.81963952765682
01,FRI,8,5,2.846643878185206,16.740288999378485
01,FRI,8,6,3.8383778744561834,22.572389683032934
01,FRI,8,7,35.243287756370414,207.25557799875696
01,FRI,8,8,16.675823492852683,98.06569297700423
01,FRI,8,9,12.011000621504007,70.63321939092585
01,FRI,8,9-1,51.221224362958324,301.2172001243006
01,FRI,9,1,10.253164556961993,43.12523042890487
01,FRI,9,10,62.85759493670885,264.38162099053704
01,FRI,9,11,31.329113924050617,131.7715374216541
01,FRI,9,12,111.36075949367088,468.3879193806071
01,FRI,9,13,24.436708860759456,102.7817991888901
01,FRI,9,14,50.924050632911374,214.18864446356142
01,FRI,9,15,21.84493670886074,91.88069927491696
01,FRI,9,2,12.189873417721474,51.27110728769798
01,FRI,9,3,21.104430379746805,88.766099299496
01,FRI,9,4,19.33860759493667,81.33897628118454
01,FRI,9,5,2.107594936708825,8.864630699274766
01,FRI,9,6,2.5917721518987187,10.901099913973143
01,FRI,9,7,25.348101265822784,106.61515300479292
01,FRI,9,8,10.537974683544265,44.32315349637442
01,FRI,9,9,8.487341772151856,35.69810741059341
01,FRI,9,9-1,48.78797468354427,205.2042214575395
