platform,ratio,hour,dow,line,updnLine
1-1,9.0,5,WEEKDAY,1,0
1-2,6.0,5,WEEKDAY,1,0
1-3,7.0,5,WEEKDAY,1,0
1-4,7.0,5,WEEKDAY,1,0
1-5,7.0,5,WEEKDAY,1,0
1-6,7.0,5,WEEKDAY,1,0
1-7,9.0,5,WEEKDAY,1,0
1-8,10.0,5,WEEKDAY,1,0
1-9,15.0,5,WEEKDAY,1,0
1-10,22.0,5,WEEKDAY,1,0
1-1,9.5,6,WEEKDAY,1,0
1-2,6.5,6,WEEKDAY,1,0
1-3,7.166666666666667,6,WEEKDAY,1,0
1-4,8.166666666666666,6,WEEKDAY,1,0
1-5,5.166666666666667,6,WEEKDAY,1,0
1-6,6.333333333333333,6,WEEKDAY,1,0
1-7,8.666666666666666,6,WEEKDAY,1,0
1-8,9.333333333333334,6,WEEKDAY,1,0
1-9,15.166666666666666,6,WEEKDAY,1,0
1-10,23.666666666666668,6,WEEKDAY,1,0
1-1,10.333333333333334,7,WEEKDAY,1,0
1-2,7.333333333333333,7,WEEKDAY,1,0
1-3,8.833333333333334,7,WEEKDAY,1,0
1-4,7.5,7,WEEKDAY,1,0
1-5,5.833333333333333,7,WEEKDAY,1,0
1-6,6.666666666666667,7,WEEKDAY,1,0
1-7,8.833333333333334,7,WEEKDAY,1,0
1-8,10.166666666666666,7,WEEKDAY,1,0
1-9,13.333333333333334,7,WEEKDAY,1,0
1-10,21.0,7,WEEKDAY,1,0
1-1,13.166666666666666,8,WEEKDAY,1,0
1-2,8.166666666666666,8,WEEKDAY,1,0
1-3,7.833333333333333,8,WEEKDAY,1,0
1-4,7.333333333333333,8,WEEKDAY,1,0
1-5,5.833333333333333,8,WEEKDAY,1,0
1-6,6.833333333333333,8,WEEKDAY,1,0
1-7,10.0,8,WEEKDAY,1,0
1-8,9.5,8,WEEKDAY,1,0
1-9,13.5,8,WEEKDAY,1,0
1-10,18.166666666666668,8,WEEKDAY,1,0
